user_id,song_id,timestamp,duration_sec,title,artist,genre,mood
user_1,song_55,2025-04-10 05:17:57,72,Song Title 55,Artist 5,Sad,Sad
user_1,song_49,2025-04-06 05:20:57,266,Song Title 49,Artist 9,Sad,Chill
user_1,song_7,2025-04-10 08:48:57,264,Song Title 7,Artist 7,Sad,Happy
user_1,song_55,2025-04-04 12:34:57,214,Song Title 55,Artist 5,Sad,Sad
user_1,song_34,2025-03-30 20:21:57,114,Song Title 34,Artist 4,Sad,Happy
user_1,song_58,2025-04-09 03:03:57,34,Song Title 58,Artist 8,Sad,Chill
user_1,song_72,2025-04-04 10:53:57,30,Song Title 72,Artist 2,HipHop,Sad
user_1,song_75,2025-03-29 19:33:57,226,Song Title 75,Artist 5,Sad,Chill
user_1,song_78,2025-04-09 07:28:57,104,Song Title 78,Artist 8,Sad,Energetic
user_1,song_75,2025-04-04 20:32:57,128,Song Title 75,Artist 5,Sad,Chill
user_1,song_7,2025-04-08 13:57:57,174,Song Title 7,Artist 7,Sad,Happy
user_1,song_58,2025-04-05 08:45:57,70,Song Title 58,Artist 8,Sad,Chill
user_1,song_35,2025-03-30 18:54:57,295,Song Title 35,Artist 5,Sad,Chill
user_1,song_43,2025-04-07 09:04:57,246,Song Title 43,Artist 3,Sad,Energetic
user_1,song_89,2025-03-31 02:53:57,35,Song Title 89,Artist 9,Sad,Chill
user_1,song_34,2025-03-29 00:15:57,48,Song Title 34,Artist 4,Sad,Happy
user_1,song_43,2025-04-10 04:12:57,248,Song Title 43,Artist 3,Sad,Energetic
user_1,song_55,2025-04-07 20:05:57,300,Song Title 55,Artist 5,Sad,Sad
user_1,song_25,2025-04-03 15:27:57,270,Song Title 25,Artist 5,HipHop,Chill
user_1,song_58,2025-04-05 06:51:57,186,Song Title 58,Artist 8,Sad,Chill
user_1,song_87,2025-04-04 09:39:57,220,Song Title 87,Artist 7,Sad,Energetic
user_1,song_75,2025-04-01 23:21:57,251,Song Title 75,Artist 5,Sad,Chill
user_1,song_75,2025-04-01 20:30:57,264,Song Title 75,Artist 5,Sad,Chill
user_1,song_7,2025-04-02 17:02:57,107,Song Title 7,Artist 7,Sad,Happy
user_1,song_75,2025-04-09 07:39:57,51,Song Title 75,Artist 5,Sad,Chill
user_1,song_87,2025-03-29 08:21:57,105,Song Title 87,Artist 7,Sad,Energetic
user_1,song_35,2025-04-02 22:05:57,166,Song Title 35,Artist 5,Sad,Chill
user_1,song_18,2025-04-05 10:52:57,204,Song Title 18,Artist 8,Sad,Chill
user_1,song_87,2025-04-09 19:55:57,264,Song Title 87,Artist 7,Sad,Energetic
user_1,song_18,2025-03-31 20:22:57,88,Song Title 18,Artist 8,Sad,Chill
user_1,song_75,2025-04-01 07:49:57,79,Song Title 75,Artist 5,Sad,Chill
user_1,song_35,2025-04-09 10:09:57,55,Song Title 35,Artist 5,Sad,Chill
user_1,song_89,2025-04-02 06:48:57,161,Song Title 89,Artist 9,Sad,Chill
user_1,song_18,2025-04-03 04:18:57,252,Song Title 18,Artist 8,Sad,Chill
user_1,song_35,2025-04-06 16:09:57,163,Song Title 35,Artist 5,Sad,Chill
user_1,song_75,2025-03-30 14:35:57,35,Song Title 75,Artist 5,Sad,Chill
user_1,song_43,2025-04-03 07:52:57,149,Song Title 43,Artist 3,Sad,Energetic
user_1,song_89,2025-03-29 04:54:57,233,Song Title 89,Artist 9,Sad,Chill
user_1,song_35,2025-04-05 15:11:57,30,Song Title 35,Artist 5,Sad,Chill
user_1,song_34,2025-03-31 11:54:57,66,Song Title 34,Artist 4,Sad,Happy
